📺央视频道,#genre#
天津卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873466.m3u8
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=0
西藏卫视,http://z.b.bkpcp.top/m.php?id=xzws
西藏卫视,http://wouu.net:9977/udp/239.93.0.175:5140
西藏卫视,http://tvbox6.com/tv/bfgd.php?id=121
西藏卫视,http://ygbh.live/xz.php?id=xzws
西藏卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003887434.m3u8
新疆卫视,http://z.b.bkpcp.top/m.php?id=xjws
新疆卫视,http://j.x.bkpcp.top/jx/XJWS
新疆卫视,http://wouu.net:9977/udp/239.93.0.194:5140
新疆卫视,http://tvbox6.com/tv/bfgd.php?id=150
新疆卫视,http://nas.jdshipin.com:8801/xjtv.php?id=xjws
新疆卫视,http://cdn.jdshipin.com:8880/ysp.php?id=xjws
新疆卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003887448.m3u8
云南卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.21:11111
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
云南卫视,http://z.b.bkpcp.top/m.php?id=ynws
云南卫视,http://wouu.net:9977/udp/239.93.1.174:5140
云南卫视,http://wouu.net:9977/udp/239.93.0.174:5140
云南卫视,http://tvbox6.com/tv/bfgd.php?id=115
云南卫视,http://tvbox6.com/tv/bfgd.php?id=482
云南卫视,http://live.wqwqwq.sbs/itv/5000000011000031120.m3u8?cdn=bestzb
云南卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003887453.m3u8
云南卫视,https://migu.188766.xyz/?migutoken=72edbc3eec0cbc7db792e45a6a15f67a&id=ynws&type=sz



虎牙明星电影,#genre#
电影_星爷,http://cfss.cc/cdn/hy/11342412.flv
电影_星爷,http://cdn.jdshipin.com:8880/huya.php?id=11342412
电影_星爷,https://live.metshop.top/huya/11342412
电影_星爷,https://www.goodiptv.club/huya/11342412
电影_英叔,http://cfss.cc/cdn/hy/11342421.flv
电影_英叔,http://cdn.jdshipin.com:8880/huya.php?id=11342421
电影_英叔,https://live.metshop.top/huya/11342421
电影_英叔,https://www.goodiptv.club/huya/11342421
电影_发哥,http://cfss.cc/cdn/hy/11342387.flv
电影_发哥,http://cdn.jdshipin.com:8880/huya.php?id=11342387
电影_发哥,https://live.metshop.top/huya/11342387
电影_发哥,https://www.goodiptv.club/huya/11342387
电影_成龙,http://cfss.cc/cdn/hy/11342386.flv
电影_成龙,http://cdn.jdshipin.com:8880/huya.php?id=11342386
电影_成龙,https://live.metshop.top/huya/11342386
电影_成龙,https://www.goodiptv.club/huya/11342386
电影_王晶,http://cfss.cc/cdn/hy/11602058.flv
电影_王晶,http://cdn.jdshipin.com:8880/huya.php?id=11602058
电影_王晶,https://live.metshop.top/huya/11602058
电影_王晶,https://www.goodiptv.club/huya/11602058
电影_沈腾,http://cfss.cc/cdn/hy/11601968.flv
电影_沈腾,http://cdn.jdshipin.com:8880/huya.php?id=11601968
电影_沈腾,https://live.metshop.top/huya/11601968
电影_沈腾,https://www.goodiptv.club/huya/11601968
电影_黄渤,http://cfss.cc/cdn/hy/11352876.flv
电影_黄渤,http://cdn.jdshipin.com:8880/huya.php?id=11352876
电影_黄渤,https://live.metshop.top/huya/11352876
电影_黄渤,https://www.goodiptv.club/huya/11352876
电影_强森,http://cfss.cc/cdn/hy/21059581.flv
电影_强森,http://cdn.jdshipin.com:8880/huya.php?id=21059581
电影_强森,https://live.metshop.top/huya/21059581
电影_强森,https://www.goodiptv.club/huya/21059581
电影_漫威,http://cfss.cc/cdn/hy/11602034.flv
电影_漫威,http://cdn.jdshipin.com:8880/huya.php?id=11602034
电影_漫威,https://live.metshop.top/huya/11602034
电影_漫威,https://www.goodiptv.club/huya/11602034
电影_许冠英,http://cfss.cc/cdn/hy/11601972.flv
电影_许冠英,https://live.metshop.top/huya/11601972
电影_许冠英,http://cdn.jdshipin.com:8880/huya.php?id=11601972
电影_许冠英,https://www.goodiptv.club/huya/11601972
电影_五福星,http://cfss.cc/cdn/hy/11282233.flv
电影_五福星,https://live.metshop.top/huya/11282233
电影_五福星,http://cdn.jdshipin.com:8880/huya.php?id=11282233
电影_五福星,https://www.goodiptv.club/huya/11282233
电影_邱淑贞,http://cfss.cc/cdn/hy/11352949.flv
电影_邱淑贞,https://live.metshop.top/huya/11352949
电影_邱淑贞,http://cdn.jdshipin.com:8880/huya.php?id=11352949
电影_邱淑贞,https://www.goodiptv.club/huya/11352949
电影_古天乐,http://cfss.cc/cdn/hy/11602041.flv
电影_古天乐,https://live.metshop.top/huya/11602041
电影_古天乐,http://cdn.jdshipin.com:8880/huya.php?id=11602041
电影_古天乐,https://www.goodiptv.club/huya/11602041
电影_徐克,http://cfss.cc/cdn/hy/11352909.flv
电影_徐克,https://live.metshop.top/huya/11352909
电影_徐克,http://cdn.jdshipin.com:8880/huya.php?id=11352909
电影_徐克,https://www.goodiptv.club/huya/11352909
电影_冯小刚,http://cfss.cc/cdn/hy/11352906.flv
电影_冯小刚,https://live.metshop.top/huya/11352906
电影_冯小刚,http://cdn.jdshipin.com:8880/huya.php?id=11352906
电影_冯小刚,https://www.goodiptv.club/huya/11352906
电影_甄子丹,http://cfss.cc/cdn/hy/11352935.flv
电影_甄子丹,https://live.metshop.top/huya/11352935
电影_甄子丹,http://cdn.jdshipin.com:8880/huya.php?id=11352935
电影_甄子丹,https://www.goodiptv.club/huya/11352935
电影_周星星,http://cfss.cc/cdn/hy/11336587.flv
电影_周星星,http://cdn.jdshipin.com:8880/huya.php?id=11336587
电影_周星星,https://live.metshop.top/huya/11336587
电影_周星星,https://www.goodiptv.club/huya/11336587
电影_李连杰,http://cfss.cc/cdn/hy/11342390.flv
电影_李连杰,http://cdn.jdshipin.com:8880/huya.php?id=11342390
电影_李连杰,https://live.metshop.top/huya/11342390
电影_李连杰,https://www.goodiptv.club/huya/11342390
电影_洪金宝,http://cfss.cc/cdn/hy/11279251.flv
电影_洪金宝,http://cdn.jdshipin.com:8880/huya.php?id=11279251
电影_洪金宝,https://live.metshop.top/huya/11279251
电影_洪金宝,https://www.goodiptv.club/huya/11279251
电影_梁家辉,http://cfss.cc/cdn/hy/11342429.flv
电影_梁家辉,http://cdn.jdshipin.com:8880/huya.php?id=11342429
电影_梁家辉,https://live.metshop.top/huya/11342429
电影_梁家辉,https://www.goodiptv.club/huya/11342429
电影_刘德华,http://cfss.cc/cdn/hy/11342424.flv
电影_刘德华,http://cdn.jdshipin.com:8880/huya.php?id=11342424
电影_刘德华,https://live.metshop.top/huya/11342424
电影_刘德华,https://www.goodiptv.club/huya/11342424
电影_斯坦森,http://cfss.cc/cdn/hy/21059588.flv
电影_斯坦森,http://cdn.jdshipin.com:8880/huya.php?id=21059588
电影_斯坦森,https://live.metshop.top/huya/21059588
电影_斯坦森,https://www.goodiptv.club/huya/21059588
电影_曾江,http://cfss.cc/cdn/hy/11601981.flv
电影_曾江,https://www.goodiptv.club/huya/11601981
电影_周海媚,http://cfss.cc/cdn/hy/11279247.flv
电影_周海媚,https://www.goodiptv.club/huya/11279247
电影_宇宙,http://cfss.cc/cdn/hy/11342428.flv
电影_宇宙,http://cdn.jdshipin.com:8880/huya.php?id=11342428
电影_宇宙,https://live.metshop.top/huya/11342428
电影_宇宙,https://www.goodiptv.club/huya/11342428
电影_怪兽,http://cfss.cc/cdn/hy/21059577.flv
电影_怪兽,http://cdn.jdshipin.com:8880/huya.php?id=21059577
电影_怪兽,https://live.metshop.top/huya/21059577
电影_怪兽,https://www.goodiptv.club/huya/21059577
电影_武侠,http://cfss.cc/cdn/hy/11342427.flv
电影_武侠,http://cdn.jdshipin.com:8880/huya.php?id=11342427
电影_武侠,https://live.metshop.top/huya/11342427
电影_武侠,https://www.goodiptv.club/huya/11342427
电影_警匪,http://cfss.cc/cdn/hy/11352886.flv
电影_警匪,http://cdn.jdshipin.com:8880/huya.php?id=11352886
电影_警匪,https://live.metshop.top/huya/11352886
电影_警匪,https://www.goodiptv.club/huya/11352886
电影_罪犯,http://cfss.cc/cdn/hy/11352962.flv
电影_罪犯,http://cdn.jdshipin.com:8880/huya.php?id=11352962
电影_罪犯,https://live.metshop.top/huya/11352962
电影_罪犯,https://www.goodiptv.club/huya/11352962
电影_枪战,http://cfss.cc/cdn/hy/21059579.flv
电影_枪战,http://cdn.jdshipin.com:8880/huya.php?id=21059579
电影_枪战,https://live.metshop.top/huya/21059579
电影_枪战,https://www.goodiptv.club/huya/21059579
电影_海盗,http://cfss.cc/cdn/hy/21059595.flv
电影_海盗,http://cdn.jdshipin.com:8880/huya.php?id=21059595
电影_海盗,https://live.metshop.top/huya/21059595
电影_海盗,https://www.goodiptv.club/huya/21059595
电影_推荐,http://cfss.cc/cdn/hy/11602041.flv
电影_推荐,http://cdn.jdshipin.com:8880/huya.php?id=11602041
电影_推荐,https://live.metshop.top/huya/11602041
电影_推荐,https://www.goodiptv.club/huya/11602041
电影_救援,http://cfss.cc/cdn/hy/21059594.flv
电影_救援,http://cdn.jdshipin.com:8880/huya.php?id=21059594
电影_救援,https://live.metshop.top/huya/21059594
电影_救援,https://www.goodiptv.club/huya/21059594
电影_热血,http://cfss.cc/cdn/hy/11352934.flv
电影_热血,http://cdn.jdshipin.com:8880/huya.php?id=11352934
电影_热血,https://live.metshop.top/huya/11352934
电影_热血,https://www.goodiptv.club/huya/11352934
电影_盗墓,http://cfss.cc/cdn/hy/21059552.flv
电影_盗墓,http://cdn.jdshipin.com:8880/huya.php?id=21059552
电影_盗墓,https://live.metshop.top/huya/21059552
电影_盗墓,https://www.goodiptv.club/huya/21059552
电影_贺岁,http://cfss.cc/cdn/hy/11601971.flv
电影_贺岁,http://cdn.jdshipin.com:8880/huya.php?id=11601971
电影_贺岁,https://live.metshop.top/huya/11601971
电影_贺岁,https://www.goodiptv.club/huya/11601971
电影_玄幻,http://cfss.cc/cdn/hy/11342414.flv
电影_玄幻,http://cdn.jdshipin.com:8880/huya.php?id=11342414
电影_玄幻,https://live.metshop.top/huya/11342414
电影_玄幻,https://www.goodiptv.club/huya/11342414
电影_谍战,http://cfss.cc/cdn/hy/21059585.flv
电影_谍战,http://cdn.jdshipin.com:8880/huya.php?id=21059585
电影_谍战,https://live.metshop.top/huya/21059585
电影_谍战,https://www.goodiptv.club/huya/21059585
电影_战争,http://cfss.cc/cdn/hy/21059592.flv
电影_战争,http://cdn.jdshipin.com:8880/huya.php?id=21059592
电影_战争,https://live.metshop.top/huya/21059592
电影_战争,https://www.goodiptv.club/huya/21059592
电影_喜剧,http://cfss.cc/cdn/hy/11352877.flv
电影_喜剧,http://cdn.jdshipin.com:8880/huya.php?id=11352877
电影_喜剧,https://live.metshop.top/huya/11352877
电影_喜剧,https://www.goodiptv.club/huya/11352877
电影_港片,http://cfss.cc/cdn/hy/11602043.flv
电影_港片,http://cdn.jdshipin.com:8880/huya.php?id=11602043
电影_港片,https://live.metshop.top/huya/11602043
电影_港片,https://www.goodiptv.club/huya/11602043
电影_国产,http://cfss.cc/cdn/hy/11352973.flv
电影_国产,http://cdn.jdshipin.com:8880/huya.php?id=11352973
电影_国产,https://live.metshop.top/huya/11352973
电影_国产,https://www.goodiptv.club/huya/11352973
电影_八点档,http://cfss.cc/cdn/hy/880261.flv
电影_八点档,http://cdn.jdshipin.com:8880/huya.php?id=880261
电影_八点档,https://live.metshop.top/huya/880261
电影_八点档,https://www.goodiptv.club/huya/880261
电影_超异能族,http://cfss.cc/cdn/hy/21059586.flv
电影_超异能族,https://www.goodiptv.club/huya/21059586
电影_古墓系列,http://cfss.cc/cdn/hy/11352913.flv
电影_古墓系列,https://www.goodiptv.club/huya/11352913
电影_蜘蛛侠,http://cfss.cc/cdn/hy/21059599.flv
电影_蜘蛛侠,http://cdn.jdshipin.com:8880/huya.php?id=21059599
电影_蜘蛛侠,https://live.metshop.top/huya/21059599
电影_蜘蛛侠,https://www.goodiptv.club/huya/21059599
电影_贺岁片,http://cfss.cc/cdn/hy/11601986.flv
电影_贺岁片,http://cdn.jdshipin.com:8880/huya.php?id=11601986
电影_贺岁片,https://live.metshop.top/huya/11601986
电影_贺岁片,https://www.goodiptv.club/huya/11601986
电影_功夫片,http://cfss.cc/cdn/hy/11352941.flv
电影_功夫片,http://cdn.jdshipin.com:8880/huya.php?id=11352941
电影_功夫片,https://live.metshop.top/huya/11352941
电影_功夫片,https://www.goodiptv.club/huya/11352941
电影_黑帮片,http://cfss.cc/cdn/hy/11336719.flv
电影_黑帮片,http://cdn.jdshipin.com:8880/huya.php?id=11336719
电影_黑帮片,https://live.metshop.top/huya/11336719
电影_黑帮片,https://www.goodiptv.club/huya/11336719
电影_丧尸片,http://cfss.cc/cdn/hy//21059578.flv
电影_丧尸片,http://cdn.jdshipin.com:8880/huya.php?id=21059578
电影_丧尸片,https://live.metshop.top/huya/21059578
电影_丧尸片,https://www.goodiptv.club/huya//21059578
电影_灾难片,http://cfss.cc/cdn/hy/11602075.flv
电影_灾难片,http://cdn.jdshipin.com:8880/huya.php?id=11602075
电影_灾难片,https://live.metshop.top/huya/11602075
电影_灾难片,https://www.goodiptv.club/huya/11602075
电影_谍战片,http://cfss.cc/cdn/hy/21059587.flv
电影_谍战片,http://cdn.jdshipin.com:8880/huya.php?id=21059587
电影_谍战片,https://live.metshop.top/huya/21059587
电影_谍战片,https://www.goodiptv.club/huya/21059587
电影_战争片,http://cfss.cc/cdn/hy/21059574.flv
电影_战争片,http://cdn.jdshipin.com:8880/huya.php?id=21059574
电影_战争片,https://live.metshop.top/huya/21059574
电影_战争片,https://www.goodiptv.club/huya/21059574
电影_犯罪片,http://cfss.cc/cdn/hy/11352974.flv
电影_犯罪片,http://cdn.jdshipin.com:8880/huya.php?id=11352974
电影_犯罪片,https://live.metshop.top/huya/11352974
电影_犯罪片,https://www.goodiptv.club/huya/11352974
电影_古装片,http://cfss.cc/cdn/hy/11336590.flv
电影_古装片,http://cdn.jdshipin.com:8880/huya.php?id=11336590
电影_古装片,https://live.metshop.top/huya/11336590
电影_古装片,https://www.goodiptv.club/huya/11336590
电影_高分动作,http://cfss.cc/cdn/hy/11352884.flv
电影_高分动作,http://cdn.jdshipin.com:8880/huya.php?id=11352884
电影_高分动作,https://live.metshop.top/huya/11352884
电影_高分动作,https://www.goodiptv.club/huya/11352884
电影_动作电影,http://cfss.cc/cdn/hy/11602077.flv
电影_动作电影,http://cdn.jdshipin.com:8880/huya.php?id=11602077
电影_动作电影,https://live.metshop.top/huya/11602077
电影_动作电影,https://www.goodiptv.club/huya/11602077
电影_搞笑喜剧,http://cfss.cc/cdn/hy/11342423.flv
电影_搞笑喜剧,http://cdn.jdshipin.com:8880/huya.php?id=11342423
电影_搞笑喜剧,https://live.metshop.top/huya/11342423
电影_搞笑喜剧,https://www.goodiptv.club/huya/11342423
电影_喜剧专场,http://cfss.cc/cdn/hy/11602044.flv
电影_喜剧专场,http://cdn.jdshipin.com:8880/huya.php?id=11602044
电影_喜剧专场,https://live.metshop.top/huya/11602044
电影_喜剧专场,https://www.goodiptv.club/huya/11602044
电影_欢笑影院,http://cfss.cc/cdn/hy/11352894.flv
电影_欢笑影院,http://cdn.jdshipin.com:8880/huya.php?id=11352894
电影_欢笑影院,https://live.metshop.top/huya/11352894
电影_欢笑影院,https://www.goodiptv.club/huya/11352894
电影_不挤影院,http://cfss.cc/cdn/hy/11352897.flv
电影_不挤影院,http://cdn.jdshipin.com:8880/huya.php?id=11352897
电影_不挤影院,https://live.metshop.top/huya/11352897
电影_不挤影院,https://www.goodiptv.club/huya/11352897
电影_国产悬疑,http://cfss.cc/cdn/hy/11342395.flv
电影_国产悬疑,http://cdn.jdshipin.com:8880/huya.php?id=11342395
电影_国产悬疑,https://live.metshop.top/huya/11342395
电影_国产悬疑,https://www.goodiptv.club/huya/11342395
电影_快意江湖,http://cfss.cc/cdn/hy/11342435.flv
电影_快意江湖,http://cdn.jdshipin.com:8880/huya.php?id=11342435
电影_快意江湖,https://live.metshop.top/huya/11342435
电影_快意江湖,https://www.goodiptv.club/huya/11342435
电影_黑帮斗争,http://cfss.cc/cdn/hy/11342419.flv
电影_黑帮斗争,http://cdn.jdshipin.com:8880/huya.php?id=11342419
电影_黑帮斗争,https://live.metshop.top/huya/11342419
电影_黑帮斗争,https://www.goodiptv.club/huya/11342419
电影_嫣然影厅,http://cfss.cc/cdn/hy/11601977.flv
电影_嫣然影厅,http://cdn.jdshipin.com:8880/huya.php?id=11601977
电影_嫣然影厅,https://live.metshop.top/huya/11601977
电影_嫣然影厅,https://www.goodiptv.club/huya/11601977
电影_许氏三杰,http://cfss.cc/cdn/hy/11602033.flv
电影_许氏三杰,http://cdn.jdshipin.com:8880/huya.php?id=11602033
电影_许氏三杰,https://live.metshop.top/huya/11602033
电影_许氏三杰,https://www.goodiptv.club/huya/11602033
电影_经典港片,http://cfss.cc/cdn/hy/11352965.flv
电影_经典港片,http://cdn.jdshipin.com:8880/huya.php?id=11352965
电影_经典港片,https://live.metshop.top/huya/11352965
电影_经典港片,https://www.goodiptv.club/huya/11352965
电影_镖行天下,http://cfss.cc/cdn/hy/11352969.flv
电影_镖行天下,http://cdn.jdshipin.com:8880/huya.php?id=11352969
电影_镖行天下,https://live.metshop.top/huya/11352969
电影_镖行天下,https://www.goodiptv.club/huya/11352969
电影_高能反转,http://cfss.cc/cdn/hy/11352887.flv
电影_高能反转,http://cdn.jdshipin.com:8880/huya.php?id=11352887
电影_高能反转,https://live.metshop.top/huya/11352887
电影_高能反转,https://www.goodiptv.club/huya/11352887
电影_喜乐影院,http://cfss.cc/cdn/hy/21059580.flv
电影_喜乐影院,http://cdn.jdshipin.com:8880/huya.php?id=21059580
电影_喜乐影院,https://live.metshop.top/huya/21059580
电影_喜乐影院,https://www.goodiptv.club/huya/21059580
电影_蘑菇影厅,http://cfss.cc/cdn/hy/11601981.flv
电影_蘑菇影厅,http://cdn.jdshipin.com:8880/huya.php?id=11601981
电影_蘑菇影厅,https://live.metshop.top/huya/11601981
电影_蘑菇影厅,https://www.goodiptv.club/huya/11601981
电影_搞笑恐怖,http://cfss.cc/cdn/hy/11601960.flv
电影_搞笑恐怖,http://cdn.jdshipin.com:8880/huya.php?id=11601960
电影_搞笑恐怖,https://live.metshop.top/huya/11601960
电影_搞笑恐怖,https://www.goodiptv.club/huya/11601960
电影_死神来了,http://cfss.cc/cdn/hy/11352903.flv
电影_死神来了,http://cdn.jdshipin.com:8880/huya.php?id=11352903
电影_死神来了,https://live.metshop.top/huya/11352903
电影_死神来了,https://www.goodiptv.club/huya/11352903
电影_变形金刚,http://cfss.cc/cdn/hy/21059596.flv
电影_变形金刚,http://cdn.jdshipin.com:8880/huya.php?id=21059596
电影_变形金刚,https://live.metshop.top/huya/21059596
电影_变形金刚,https://www.goodiptv.club/huya/21059596
电影_怪兽系列,http://cfss.cc/cdn/hy/21059554.flv
电影_怪兽系列,http://cdn.jdshipin.com:8880/huya.php?id=21059554
电影_怪兽系列,https://live.metshop.top/huya/21059554
电影_怪兽系列,https://www.goodiptv.club/huya/21059554
剧集_老三国,http://cfss.cc/cdn/hy/11602081.flv
剧集_老三国,http://cdn.jdshipin.com:8880/huya.php?id=11602081
剧集_老三国,https://live.metshop.top/huya/11602081
剧集_老三国,https://www.goodiptv.club/huya/11602081
剧集_新三国,http://cfss.cc/cdn/hy/11352944.flv
剧集_新三国,http://cdn.jdshipin.com:8880/huya.php?id=11352944
剧集_新三国,https://live.metshop.top/huya/11352944
剧集_新三国,https://www.goodiptv.club/huya/11352944
剧集_新水浒,http://cfss.cc/cdn/hy/11342384.flv
剧集_新水浒,http://cdn.jdshipin.com:8880/huya.php?id=11342384
剧集_新水浒,https://live.metshop.top/huya/11342384
剧集_新水浒,https://www.goodiptv.club/huya/11342384
剧集_纪晓岚,http://cfss.cc/cdn/hy/11342396.flv
剧集_纪晓岚,http://cdn.jdshipin.com:8880/huya.php?id=11342396
剧集_纪晓岚,https://live.metshop.top/huya/11342396
剧集_纪晓岚,https://www.goodiptv.club/huya/11342396
剧集_庆余年,http://cfss.cc/cdn/hy/11352960.flv
剧集_庆余年,http://cdn.jdshipin.com:8880/huya.php?id=11352960
剧集_庆余年,https://live.metshop.top/huya/11352960
剧集_庆余年,https://www.goodiptv.club/huya/11352960
剧集_雍正王朝,http://cfss.cc/cdn/hy/11342439.flv
剧集_雍正王朝,http://cdn.jdshipin.com:8880/huya.php?id=11342439
剧集_雍正王朝,https://live.metshop.top/huya/11342439
剧集_雍正王朝,https://www.goodiptv.club/huya/11342439
剧集_士兵突击,http://cfss.cc/cdn/hy/11342430.flv
剧集_士兵突击,http://cdn.jdshipin.com:8880/huya.php?id=11314438
剧集_士兵突击,https://live.metshop.top/huya/11342430
剧集_士兵突击,https://www.goodiptv.club/huya/11342430
剧集_爱情公寓,http://cfss.cc/cdn/hy/11336726.flv
剧集_爱情公寓,http://cdn.jdshipin.com:8880/huya.php?id=11336726
剧集_爱情公寓,https://live.metshop.top/huya/11336726
剧集_爱情公寓,https://www.goodiptv.club/huya/11336726
剧集_武林外传,http://cfss.cc/cdn/hy/21059598.flv
剧集_武林外传,http://cdn.jdshipin.com:8880/huya.php?id=21059598
剧集_武林外传,https://live.metshop.top/huya/21059598
剧集_武林外传,https://www.goodiptv.club/huya/21059598
剧集_地下交通站,http://cfss.cc/cdn/hy/11342433.flv
剧集_地下交通站,http://cdn.jdshipin.com:8880/huya.php?id=11342433
剧集_地下交通站,https://live.metshop.top/huya/11342433
剧集_地下交通站,https://www.goodiptv.club/huya/11342433
剧集_邻里一家亲,http://cfss.cc/cdn/hy/11342426.flv
剧集_邻里一家亲,http://cdn.jdshipin.com:8880/huya.php?id=11342426
剧集_邻里一家亲,https://live.metshop.top/huya/11342426
剧集_邻里一家亲,https://www.goodiptv.club/huya/11342426
搞笑_陈翔六点半,http://cfss.cc/cdn/hy/11274154.flv
搞笑_陈翔六点半,http://cdn.jdshipin.com:8880/huya.php?id=11274154
搞笑_陈翔六点半,https://live.metshop.top/huya/11274154
搞笑_陈翔六点半,https://www.goodiptv.club/huya/11274154
电影_赛车,http://cdn.jdshipin.com:8880/huya.php?id=11279247
电影_赛车,https://live.metshop.top/huya/11279247
电影_小鬼头,http://cdn.jdshipin.com:8880/huya.php?id=11352963
电影_小鬼头,https://live.metshop.top/huya/11352963
解说_鹿哥电影,http://cdn.jdshipin.com:8880/huya.php?id=24396360
解说_鹿哥电影,https://live.metshop.top/huya/24396360
解说_斌哥漫说,http://cdn.jdshipin.com:8880/huya.php?id=18632116
解说_斌哥漫说,https://live.metshop.top/huya/18632116
解说_续哥说电影,http://cdn.jdshipin.com:8880/huya.php?id=24396472
解说_续哥说电影,https://live.metshop.top/huya/24396472
解说_小川侃电影,http://cdn.jdshipin.com:8880/huya.php?id=15870999
解说_小川侃电影,https://live.metshop.top/huya/15870999
解说_阿良说剧,http://cdn.jdshipin.com:8880/huya.php?id=20488841
解说_阿良说剧,https://live.metshop.top/huya/20488841
解说_鱼丸电影,http://cdn.jdshipin.com:8880/huya.php?id=16615910
解说_鱼丸电影,https://live.metshop.top/huya/16615910
解说_阿斗说电影,http://cdn.jdshipin.com:8880/huya.php?id=13303478
解说_阿斗说电影,https://live.metshop.top/huya/13303478
解说_扁豆看电影,http://cdn.jdshipin.com:8880/huya.php?id=16028551
解说_扁豆看电影,https://live.metshop.top/huya/16028551
解说_乌贼说电影,http://cdn.jdshipin.com:8880/huya.php?id=16604522
解说_乌贼说电影,https://live.metshop.top/huya/16604522
解说_大象放映室,http://cdn.jdshipin.com:8880/huya.php?id=21277391
解说_大象放映室,https://live.metshop.top/huya/21277391
解说_科幻梦工场,http://cdn.jdshipin.com:8880/huya.php?id=15152155
解说_科幻梦工场,https://live.metshop.top/huya/15152155
解说_亮哥讲电影,http://cdn.jdshipin.com:8880/huya.php?id=16144175
解说_亮哥讲电影,https://live.metshop.top/huya/16144175
解说_越哥说电影,http://cdn.jdshipin.com:8880/huya.php?id=15894162
解说_越哥说电影,https://live.metshop.top/huya/15894162
解说_小冉看电影,http://cdn.jdshipin.com:8880/huya.php?id=17341907
解说_小冉看电影,https://live.metshop.top/huya/17341907
解说_阿翔说电影,http://cdn.jdshipin.com:8880/huya.php?id=16868935
解说_阿翔说电影,https://live.metshop.top/huya/16868935
解说_虎妞说电影,http://cdn.jdshipin.com:8880/huya.php?id=20343144
解说_虎妞说电影,https://live.metshop.top/huya/20343144
解说_涵哥评电影,http://cdn.jdshipin.com:8880/huya.php?id=16865726
解说_涵哥评电影,https://live.metshop.top/huya/16865726
解说_老皮讲电影,http://cdn.jdshipin.com:8880/huya.php?id=16968572
解说_老皮讲电影,https://live.metshop.top/huya/16968572
解说_默爷侃电影,http://cdn.jdshipin.com:8880/huya.php?id=17204307
解说_默爷侃电影,https://live.metshop.top/huya/17204307




经典电影,#genre#
CHC动作电影,http://110.53.52.63:8888/newlive/live/hls/53/live.m3u8
CHC动作电影,http://119.32.12.17:2901/udp/224.1.100.131:11111
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
CHC影迷电影,http://110.53.52.63:8888/newlive/live/hls/52/live.m3u8
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8
东森电影,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
NewTV超级电影,http://39.134.65.175/PLTV/88888888/224/3221225644/1.m3u8
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
冰冰影剧,http://www.douzhicloud.site:35455/douyu/74374
功夫电影,http://www.douzhicloud.site:35455/huya/11352941
南宁影视娱乐,http://688b7cbf9b7a8d911a085372b6c70ab5.livehwc3.cn/hls.nntv.cn/nnlive/YSYL_244.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=e7eb508555e76e08cc1b198d04f41fb5
古天乐电影,http://www.douzhicloud.site:35455/huya/29982675
周星驰电影,http://www.douzhicloud.site:35455/huya/11342412
周杰伦MV,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
哈尔滨影视,https://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
嘉兴文化影视,http://play-sh13.quklive.com/live/1675149625220101.m3u8?auth_key=2028730374-3a60eb8e324f416aa3b26dda7679d920-0-22dc7efa8452d0b0665c15eeed83609d
